group_type,group_value,defect_state,cases_total,cases_known_truth,cases_urgent,baseline_triage_accuracy,baseline_triaged_cases,baseline_triaged_case_fraction,baseline_urgent_recall,baseline_urgency_miss_rate,baseline_urgent_deferral_rate,baseline_retake_rate,baseline_mean_latency,baseline_mean_token_usage,quality_gated_triage_accuracy,quality_gated_triaged_cases,quality_gated_triaged_case_fraction,quality_gated_urgent_recall,quality_gated_urgency_miss_rate,quality_gated_urgent_deferral_rate,quality_gated_retake_rate,quality_gated_mean_latency,quality_gated_mean_token_usage
defect,all,all,4800,4800,1230,0.4011252344238383,4799,0.9997916666666666,0.7317073170731707,0.2682926829268293,0.0,0.0,2.0375048680625576,349.7427083333333,0.3923734111273182,4799,0.9997916666666666,0.7585365853658537,0.06341463414634146,0.17804878048780487,0.18916666666666668,2.0375048680625576,349.7427083333333
defect,blur,present,415,415,98,0.38795180722891565,415,1.0,0.6836734693877551,0.3163265306122449,0.0,0.0,2.2016593212051756,390.1566265060241,0.38072289156626504,415,1.0,0.826530612244898,0.0,0.7857142857142857,0.7493975903614458,2.2016593212051756,390.1566265060241
defect,blur,absent,4385,4385,1132,0.4023722627737226,4384,0.9997719498289623,0.7358657243816255,0.26413427561837455,0.0,0.0,2.021969155849516,345.91790193842644,0.39347627737226276,4384,0.9997719498289623,0.7526501766784452,0.12190812720848057,0.1254416961130742,0.1361459521094641,2.021969155849516,345.91790193842644
defect,motion_blur,present,469,469,116,0.42857142857142855,469,1.0,0.6551724137931034,0.3448275862068966,0.0,0.0,2.495023061407046,439.20255863539444,0.3773987206823028,469,1.0,0.75,0.0,0.9137931034482759,0.8976545842217484,2.495023061407046,439.20255863539444
defect,motion_blur,absent,4331,4331,1114,0.39815242494226327,4330,0.9997691064419303,0.7396768402154399,0.26032315978456017,0.0,0.0,1.987960644400917,340.0551835603787,0.39399538106235565,4330,0.9997691064419303,0.7594254937163375,0.13913824057450627,0.10143626570915619,0.11244516277995843,1.987960644400917,340.0551835603787
defect,low_brightness,present,209,209,49,0.4182692307692308,208,0.9952153110047847,0.6530612244897959,0.3469387755102041,0.0,0.0,2.1795989004784384,377.1291866028708,0.3701923076923077,208,0.9952153110047847,0.673469387755102,0.0,0.40816326530612246,0.3492822966507177,2.1795989004784384,377.1291866028708
defect,low_brightness,absent,4591,4591,1181,0.4003485079503376,4591,1.0,0.7349703640982218,0.26502963590177814,0.0,0.0,2.031036200501042,348.49597037682423,0.39337834894358525,4591,1.0,0.7620660457239627,0.06943268416596104,0.1685012701100762,0.1818775865824439,2.031036200501042,348.49597037682423
defect,high_brightness,present,177,177,40,0.3502824858757062,177,1.0,0.625,0.375,0.0,0.0,2.18720525932177,383.23728813559325,0.3672316384180791,177,1.0,0.675,0.125,0.2,0.3446327683615819,2.18720525932177,383.23728813559325
defect,high_brightness,absent,4623,4623,1190,0.4030722630895716,4622,0.99978369024443,0.7352941176470589,0.2647058823529412,0.0,0.0,2.031773315120122,348.4603071598529,0.39333621808740804,4622,0.99978369024443,0.761344537815126,0.06134453781512605,0.1773109243697479,0.18321436296776986,2.031773315120122,348.4603071598529
defect,low_contrast,present,177,177,43,0.4463276836158192,177,1.0,0.6976744186046512,0.3023255813953488,0.0,0.0,2.085754491525438,369.316384180791,0.3898305084745763,177,1.0,0.7209302325581395,0.046511627906976744,0.23255813953488372,0.327683615819209,2.085754491525438,369.316384180791
defect,low_contrast,absent,4623,4623,1187,0.39939420164430983,4622,0.99978369024443,0.7329401853411963,0.2670598146588037,0.0,0.0,2.0356575430889623,348.99329439757736,0.3924707918649935,4622,0.99978369024443,0.7598989048020219,0.06402695871946082,0.17607413647851727,0.18386329223447978,2.0356575430889623,348.99329439757736
defect,high_contrast,present,162,162,41,0.3271604938271605,162,1.0,0.5121951219512195,0.4878048780487805,0.0,0.0,2.1326965327174503,381.31481481481484,0.30864197530864196,162,1.0,0.5853658536585366,0.1951219512195122,0.21951219512195122,0.2962962962962963,2.1326965327174503,381.31481481481484
defect,high_contrast,absent,4638,4638,1189,0.40370929480267415,4637,0.9997843898231996,0.7392767031118587,0.2607232968881413,0.0,0.0,2.0341799328158796,348.6399310047434,0.3952986844942851,4637,0.9997843898231996,0.7645079899074853,0.05887300252312868,0.17661900756938603,0.18542475204829667,2.0341799328158796,348.6399310047434
defect,noise,present,302,302,82,0.39403973509933776,302,1.0,0.7682926829268293,0.23170731707317074,0.0,0.0,2.041194477152185,375.73509933774835,0.3973509933774834,302,1.0,0.7926829268292683,0.0,0.2926829268292683,0.38741721854304634,2.041194477152185,375.73509933774835
defect,noise,absent,4498,4498,1148,0.4016010673782522,4497,0.9997776789684304,0.7290940766550522,0.27090592334494773,0.0,0.0,2.037257144197491,347.9975544686527,0.3920391372025795,4497,0.9997776789684304,0.7560975609756098,0.0740418118466899,0.16986062717770034,0.17585593597154292,2.037257144197491,347.9975544686527
defect,shadow,present,244,244,57,0.4098360655737705,244,1.0,0.7017543859649122,0.2982456140350877,0.0,0.0,2.118253626639716,373.4836065573771,0.36065573770491804,244,1.0,0.7543859649122807,0.0,0.24561403508771928,0.30327868852459017,2.118253626639716,373.4836065573771
defect,shadow,absent,4556,4556,1173,0.40065861690450055,4555,0.9997805092186128,0.7331628303495311,0.2668371696504689,0.0,0.0,2.033180307682218,348.4712467076383,0.3940724478594951,4555,0.9997805092186128,0.7587382779198636,0.06649616368286446,0.17476555839727195,0.18305531167690958,2.033180307682218,348.4712467076383
