timestamp,experiment,config,backend,mode,triage_accuracy,urgent_recall,urgency_miss_rate,retake_rate,mean_latency,mean_token_usage,triaged_cases,triaged_case_fraction,urgent_deferral_rate
2025-10-09T04:04:02Z,triage_v_gate_openai,triage_eval_openai.yaml,openai_gpt5_nano,baseline,0.377253814147018,0.6545454545454545,0.3454545454545454,0.0,4.898486162690448,741.4313453536754,,,
2025-10-09T04:04:02Z,triage_v_gate_openai,triage_eval_openai.yaml,openai_gpt5_nano,quality_gated,0.1844660194174757,0.3090909090909091,0.6909090909090909,0.5006934812760055,4.898486162690448,741.4313453536754,,,
2025-10-18T00:09:16Z,triage_v_gate_v1,triage_eval.yaml,qwen2_vl_2b,baseline,0.6,1.0,0.0,0.0,117.3994639699973,,10.0,1.0,0.0
2025-10-18T00:09:16Z,triage_v_gate_v1,triage_eval.yaml,qwen2_vl_2b,quality_gated,0.6,1.0,0.0,0.0,117.3994639699973,,10.0,1.0,0.0
2025-10-18T01:13:03Z,triage_v_gate_v1,triage_eval.yaml,gpt5_nano,baseline,0.3855755894590846,0.6606060606060606,0.3393939393939394,0.0,2.451515439112577,400.5631067961165,721.0,1.0,0.0
2025-10-18T01:13:03Z,triage_v_gate_v1,triage_eval.yaml,gpt5_nano,quality_gated,0.3800277392510402,0.6666666666666666,0.3333333333333333,0.0,2.451515439112577,400.5631067961165,721.0,1.0,0.0
2025-10-18T01:18:58Z,triage_v_gate_v1,triage_eval.yaml,gpt5_nano,baseline,0.3855755894590846,0.6606060606060606,0.3393939393939394,0.0,2.289611401525879,373.74479889042993,721.0,1.0,0.0
2025-10-18T01:18:58Z,triage_v_gate_v1,triage_eval.yaml,gpt5_nano,quality_gated,0.3841886269070735,0.6606060606060606,0.3393939393939394,0.0,2.289611401525879,373.74479889042993,721.0,1.0,0.0
2025-10-18T01:24:04Z,triage_v_gate_v1,triage_eval.yaml,gpt5_nano,baseline,0.3855755894590846,0.6606060606060606,0.3393939393939394,0.1539528432732316,2.289611401525879,373.74479889042993,721.0,1.0,0.1242424242424242
2025-10-18T01:24:04Z,triage_v_gate_v1,triage_eval.yaml,gpt5_nano,quality_gated,0.3841886269070735,0.6606060606060606,0.3393939393939394,0.1539528432732316,2.289611401525879,373.74479889042993,721.0,1.0,0.1242424242424242
2025-10-18T03:01:08Z,triage_v_gate_v1,triage_eval.yaml,gpt5_nano,baseline,0.3325991189427312,0.7256637168141593,0.2743362831858407,0.1604166666666666,2.238753452083074,377.8958333333333,454.0,1.0,0.1238938053097345
2025-10-18T03:01:08Z,triage_v_gate_v1,triage_eval.yaml,gpt5_nano,quality_gated,0.3333333333333333,0.7433628318584071,0.2566371681415929,0.1604166666666666,2.238753452083074,377.8958333333333,453.0,0.9977973568281938,0.1238938053097345
2025-10-18T03:46:51Z,triage_v_gate_v1,triage_eval.yaml,gpt5_nano,baseline,0.3325991189427312,0.7256637168141593,0.2743362831858407,0.1875,2.3014854408331,387.3666666666667,454.0,1.0,0.168141592920354
2025-10-18T03:46:51Z,triage_v_gate_v1,triage_eval.yaml,gpt5_nano,quality_gated,0.3267108167770419,0.7433628318584071,0.2566371681415929,0.1875,2.3014854408331,387.3666666666667,453.0,0.9977973568281938,0.168141592920354
2025-10-18T03:51:34Z,triage_v_gate_v1,triage_eval.yaml,gpt5_nano,baseline,0.3325991189427312,0.7256637168141593,0.2743362831858407,0.175,2.2637426604163315,382.6166666666667,454.0,1.0,0.1504424778761062
2025-10-18T03:51:34Z,triage_v_gate_v1,triage_eval.yaml,gpt5_nano,quality_gated,0.3267108167770419,0.7433628318584071,0.2566371681415929,0.175,2.2637426604163315,382.6166666666667,453.0,0.9977973568281938,0.1504424778761062
2025-10-18T04:04:38Z,triage_v_gate_v1,triage_eval.yaml,gpt5_nano,baseline,0.3325991189427312,0.7256637168141593,0.2743362831858407,0.1416666666666666,2.207482594166261,372.15833333333336,454.0,1.0,0.1061946902654867
2025-10-18T04:04:38Z,triage_v_gate_v1,triage_eval.yaml,gpt5_nano,quality_gated,0.3333333333333333,0.7345132743362832,0.2654867256637168,0.1416666666666666,2.207482594166261,372.15833333333336,453.0,0.9977973568281938,0.1061946902654867
2025-10-18T04:27:10Z,triage_v_gate_v1,triage_eval.yaml,gpt5_nano,baseline,0.3577777777777777,0.7543859649122807,0.2456140350877192,0.0833333333333333,2.004171130416277,351.9479166666667,450.0,0.9977827050997784,0.0695652173913043
2025-10-18T04:27:10Z,triage_v_gate_v1,triage_eval.yaml,gpt5_nano,quality_gated,0.3614190687361419,0.7652173913043478,0.2347826086956521,0.0833333333333333,2.004171130416277,351.9479166666667,451.0,1.0,0.0695652173913043
2025-10-18T04:40:46Z,triage_v_gate_v1,triage_eval.yaml,gpt5_nano,baseline,0.3610223642172524,0.7414634146341463,0.2585365853658536,0.072,2.0961554766997725,351.088,939.0,0.998936170212766,0.0436893203883495
2025-10-18T04:40:46Z,triage_v_gate_v1,triage_eval.yaml,gpt5_nano,quality_gated,0.3588924387646432,0.7463414634146341,0.2536585365853658,0.072,2.0961554766997725,351.088,939.0,0.998936170212766,0.0436893203883495
2025-10-18T05:05:46Z,triage_v_gate_v1,triage_eval.yaml,gpt5_nano,baseline,0.358974358974359,0.6666666666666666,0.3333333333333333,0.072,2.077448274799797,352.868,234.0,1.0,0.0625
2025-10-18T05:05:46Z,triage_v_gate_v1,triage_eval.yaml,gpt5_nano,quality_gated,0.3504273504273504,0.6875,0.3125,0.072,2.077448274799797,352.868,234.0,1.0,0.0625
